'Elapsed time','ECG'
'seconds','mV'
0.000,-0.140
0.004,-0.130
0.008,-0.117
0.012,-0.102
0.016,-0.075
0.020,-0.048
0.024,0.003
0.028,0.025
0.032,0.072
0.036,0.102
0.040,0.147
0.044,0.195
0.048,0.255
0.052,0.282
0.056,0.312
0.060,0.343
0.064,0.343
0.068,0.338
0.072,0.328
0.076,0.315
0.080,0.292
0.084,0.270
0.088,0.228
0.092,0.172
0.096,0.105
0.100,0.055
0.104,0.007
0.108,-0.022
0.112,-0.050
0.116,-0.065
0.120,-0.072
0.124,-0.100
0.128,-0.115
0.132,-0.140
0.136,-0.160
0.140,-0.168
0.144,-0.165
0.148,-0.170
0.152,-0.147
0.156,-0.152
0.160,-0.168
0.164,-0.175
0.168,-0.170
0.172,-0.175
0.176,-0.188
0.180,-0.180
0.184,-0.168
0.188,-0.168
0.192,-0.172
0.196,-0.180
0.200,-0.188
0.204,-0.190
0.208,-0.190
0.212,-0.193
0.216,-0.185
0.220,-0.172
0.224,-0.193
0.228,-0.182
0.232,-0.200
0.236,-0.200
0.240,-0.207
0.244,-0.205
0.248,-0.200
0.252,-0.190
0.256,-0.190
0.260,-0.185
0.264,-0.198
0.268,-0.212
0.272,-0.203
0.276,-0.212
0.280,-0.210
0.284,-0.200
0.288,-0.193
0.292,-0.200
0.296,-0.188
0.300,-0.200
0.304,-0.203
0.308,-0.210
0.312,-0.210
0.316,-0.198
0.320,-0.190
0.324,-0.177
0.328,-0.175
0.332,-0.185
0.336,-0.188
0.340,-0.185
0.344,-0.193
0.348,-0.185
0.352,-0.172
0.356,-0.177
0.360,-0.175
0.364,-0.172
0.368,-0.188
0.372,-0.198
0.376,-0.188
0.380,-0.175
0.384,-0.165
0.388,-0.158
0.392,-0.158
0.396,-0.165
0.400,-0.172
0.404,-0.170
0.408,-0.168
0.412,-0.170
0.416,-0.160
0.420,-0.150
0.424,-0.140
0.428,-0.147
0.432,-0.142
0.436,-0.160
0.440,-0.160
0.444,-0.152
0.448,-0.130
0.452,-0.117
0.456,-0.113
0.460,-0.107
0.464,-0.115
0.468,-0.110
0.472,-0.105
0.476,-0.100
0.480,-0.095
0.484,-0.080
0.488,-0.075
0.492,-0.083
0.496,-0.107
0.500,-0.133
0.504,-0.150
0.508,-0.140
0.512,-0.130
0.516,-0.115
0.520,-0.110
0.524,-0.107
0.528,-0.117
0.532,-0.128
0.536,-0.155
0.540,-0.158
0.544,-0.155
0.548,-0.160
0.552,-0.145
0.556,-0.140
0.560,-0.138
0.564,-0.140
0.568,-0.133
0.572,-0.117
0.576,-0.115
0.580,-0.095
0.584,-0.045
0.588,0.013
0.592,0.110
0.596,0.237
0.600,0.410
0.604,0.642
0.608,0.917
0.612,1.212
0.616,1.482
0.620,1.700
0.624,1.850
0.628,1.885
0.632,1.760
0.636,1.452
0.640,0.922
0.644,0.318
0.648,-0.175
0.652,-0.410
0.656,-0.388
0.660,-0.240
0.664,-0.092
0.668,-0.048
0.672,-0.062
0.676,-0.128
0.680,-0.158
0.684,-0.172
0.688,-0.180
0.692,-0.158
0.696,-0.168
0.700,-0.180
0.704,-0.185
0.708,-0.188
0.712,-0.185
0.716,-0.177
0.720,-0.180
0.724,-0.182
0.728,-0.188
0.732,-0.190
0.736,-0.200
0.740,-0.203
0.744,-0.212
0.748,-0.198
0.752,-0.190
0.756,-0.190
0.760,-0.200
0.764,-0.203
0.768,-0.217
0.772,-0.207
0.776,-0.210
0.780,-0.188
0.784,-0.188
0.788,-0.182
0.792,-0.172
0.796,-0.190
0.800,-0.188
0.804,-0.182
0.808,-0.193
0.812,-0.185
0.816,-0.177
0.820,-0.152
0.824,-0.145
0.828,-0.135
0.832,-0.117
0.836,-0.090
0.840,-0.048
0.844,-0.020
0.848,0.028
0.852,0.083
0.856,0.133
0.860,0.165
0.864,0.212
0.868,0.245
0.872,0.280
0.876,0.318
0.880,0.338
0.884,0.350
0.888,0.338
0.892,0.328
0.896,0.273
0.900,0.233
0.904,0.170
0.908,0.115
0.912,0.077
0.916,0.030
0.920,0.007
0.924,-0.035
0.928,-0.075
0.932,-0.098
0.936,-0.128
0.940,-0.133
0.944,-0.138
0.948,-0.147
0.952,-0.145
0.956,-0.147
0.960,-0.155
0.964,-0.165
0.968,-0.175
0.972,-0.182
0.976,-0.182
0.980,-0.185
0.984,-0.172
0.988,-0.172
0.992,-0.160
0.996,-0.152
1.000,-0.175
1.004,-0.188
1.008,-0.190
1.012,-0.188
1.016,-0.177
1.020,-0.165
1.024,-0.168
1.028,-0.168
1.032,-0.180
1.036,-0.182
1.040,-0.185
1.044,-0.180
1.048,-0.172
1.052,-0.165
1.056,-0.160
1.060,-0.180
1.064,-0.193
1.068,-0.200
1.072,-0.203
1.076,-0.195
1.080,-0.190
1.084,-0.182
1.088,-0.180
1.092,-0.188
1.096,-0.200
1.100,-0.190
1.104,-0.190
1.108,-0.193
1.112,-0.200
1.116,-0.180
1.120,-0.177
1.124,-0.177
1.128,-0.177
1.132,-0.188
1.136,-0.198
1.140,-0.185
1.144,-0.182
1.148,-0.177
1.152,-0.165
1.156,-0.168
1.160,-0.160
1.164,-0.170
1.168,-0.180
1.172,-0.175
1.176,-0.175
1.180,-0.160
1.184,-0.155
1.188,-0.155
1.192,-0.150
1.196,-0.168
1.200,-0.155
1.204,-0.165
1.208,-0.165
1.212,-0.150
1.216,-0.155
1.220,-0.150
1.224,-0.150
1.228,-0.147
1.232,-0.165
1.236,-0.165
1.240,-0.160
1.244,-0.150
1.248,-0.140
1.252,-0.120
1.256,-0.117
1.260,-0.110
1.264,-0.110
1.268,-0.113
1.272,-0.130
1.276,-0.128
1.280,-0.125
1.284,-0.087
1.288,-0.080
1.292,-0.083
1.296,-0.090
1.300,-0.122
1.304,-0.158
1.308,-0.168
1.312,-0.155
1.316,-0.145
1.320,-0.133
1.324,-0.135
1.328,-0.125
1.332,-0.138
1.336,-0.150
1.340,-0.168
1.344,-0.168
1.348,-0.168
1.352,-0.155
1.356,-0.158
1.360,-0.158
1.364,-0.160
1.368,-0.160
1.372,-0.158
1.376,-0.155
1.380,-0.130
1.384,-0.125
1.388,-0.105
1.392,-0.077
1.396,-0.033
1.400,0.030
1.404,0.140
1.408,0.290
1.412,0.530
1.416,0.845
1.420,1.173
1.424,1.482
1.428,1.712
1.432,1.867
1.436,1.887
1.440,1.755
1.444,1.415
1.448,0.900
1.452,0.325
1.456,-0.165
1.460,-0.407
1.464,-0.400
1.468,-0.265
1.472,-0.125
1.476,-0.060
1.480,-0.077
1.484,-0.130
1.488,-0.188
1.492,-0.207
1.496,-0.220
1.500,-0.212
1.504,-0.205
1.508,-0.205
1.512,-0.200
1.516,-0.217
1.520,-0.203
1.524,-0.203
1.528,-0.215
1.532,-0.220
1.536,-0.235
1.540,-0.237
1.544,-0.230
1.548,-0.235
1.552,-0.228
1.556,-0.220
1.560,-0.225
1.564,-0.247
1.568,-0.253
1.572,-0.242
1.576,-0.242
1.580,-0.235
1.584,-0.235
1.588,-0.228
1.592,-0.237
1.596,-0.245
1.600,-0.253
1.604,-0.253
1.608,-0.255
1.612,-0.237
1.616,-0.240
1.620,-0.230
1.624,-0.223
1.628,-0.225
1.632,-0.220
1.636,-0.210
1.640,-0.210
1.644,-0.180
1.648,-0.147
1.652,-0.110
1.656,-0.075
1.660,-0.022
1.664,0.013
1.668,0.065
1.672,0.105
1.676,0.133
1.680,0.190
1.684,0.230
1.688,0.270
1.692,0.290
1.696,0.300
1.700,0.297
1.704,0.290
1.708,0.255
1.712,0.225
1.716,0.193
1.720,0.150
1.724,0.083
1.728,0.033
1.732,-0.018
1.736,-0.060
1.740,-0.102
1.744,-0.125
1.748,-0.133
1.752,-0.142
1.756,-0.160
1.760,-0.160
1.764,-0.190
1.768,-0.200
1.772,-0.200
1.776,-0.200
1.780,-0.205
1.784,-0.193
1.788,-0.195
1.792,-0.203
1.796,-0.212
1.800,-0.217
1.804,-0.220
1.808,-0.215
1.812,-0.223
1.816,-0.207
1.820,-0.203
1.824,-0.205
1.828,-0.220
1.832,-0.215
1.836,-0.230
1.840,-0.223
1.844,-0.212
1.848,-0.212
1.852,-0.210
1.856,-0.210
1.860,-0.217
1.864,-0.220
1.868,-0.235
1.872,-0.225
1.876,-0.230
1.880,-0.235
1.884,-0.228
1.888,-0.220
1.892,-0.215
1.896,-0.233
1.900,-0.240
1.904,-0.250
1.908,-0.263
1.912,-0.240
1.916,-0.245
1.920,-0.242
1.924,-0.233
1.928,-0.233
1.932,-0.235
1.936,-0.235
1.940,-0.245
1.944,-0.240
1.948,-0.217
1.952,-0.217
1.956,-0.217
1.960,-0.220
1.964,-0.225
1.968,-0.230
1.972,-0.240
1.976,-0.233
1.980,-0.217
1.984,-0.215
1.988,-0.203
1.992,-0.205
1.996,-0.203
2.000,-0.215
2.004,-0.212
2.008,-0.228
2.012,-0.217
2.016,-0.200
2.020,-0.195
2.024,-0.203
2.028,-0.193
2.032,-0.205
2.036,-0.205
2.040,-0.210
2.044,-0.203
2.048,-0.185
2.052,-0.180
2.056,-0.180
2.060,-0.182
2.064,-0.177
2.068,-0.177
2.072,-0.165
2.076,-0.168
2.080,-0.155
2.084,-0.138
2.088,-0.140
2.092,-0.142
2.096,-0.145
2.100,-0.150
2.104,-0.140
2.108,-0.130
2.112,-0.133
2.116,-0.152
2.120,-0.165
2.124,-0.168
2.128,-0.190
2.132,-0.190
2.136,-0.188
2.140,-0.195
2.144,-0.180
2.148,-0.180
2.152,-0.188
2.156,-0.185
2.160,-0.212
2.164,-0.217
2.168,-0.223
2.172,-0.220
2.176,-0.225
2.180,-0.210
2.184,-0.195
2.188,-0.177
2.192,-0.170
2.196,-0.180
2.200,-0.165
2.204,-0.130
2.208,-0.090
2.212,-0.013
2.216,0.113
2.220,0.282
2.224,0.505
2.228,0.795
2.232,1.095
2.236,1.377
2.240,1.595
2.244,1.750
2.248,1.835
2.252,1.762
2.256,1.490
2.260,1.012
2.264,0.407
2.268,-0.138
2.272,-0.443
2.276,-0.468
2.280,-0.328
2.284,-0.168
2.288,-0.087
2.292,-0.117
2.296,-0.175
2.300,-0.242
2.304,-0.263
2.308,-0.282
2.312,-0.260
2.316,-0.240
2.320,-0.242
2.324,-0.258
2.328,-0.258
2.332,-0.278
2.336,-0.278
2.340,-0.292
2.344,-0.287
2.348,-0.275
2.352,-0.278
2.356,-0.282
2.360,-0.287
2.364,-0.300
2.368,-0.305
2.372,-0.302
2.376,-0.302
2.380,-0.285
2.384,-0.290
2.388,-0.280
2.392,-0.290
2.396,-0.290
2.400,-0.300
2.404,-0.302
2.408,-0.302
2.412,-0.292
