'Elapsed time','ECG I'
'seconds','mV'
0.000,0.37000000
0.002,0.19000000
0.004,0.06500000
0.006,0.04500000
0.008,0.07000000
0.010,0.04500000
0.012,0.25500000
0.014,0.33000000
0.016,0.29500000
0.018,0.38000000
0.020,0.19500000
0.022,0.20000000
0.024,0.17500000
0.026,0.01000000
0.028,0.00000000
0.030,0.11500000
0.032,0.15500000
0.034,0.28500000
0.036,0.38500000
0.038,0.31000000
0.040,0.25500000
0.042,0.29500000
0.044,0.12000000
0.046,-0.04500000
0.048,0.00000000
0.050,0.15500000
0.052,0.12000000
0.054,0.38000000
0.056,0.31000000
0.058,0.39000000
0.060,0.30500000
0.062,0.20500000
0.064,0.16000000
0.066,0.05000000
0.068,-0.12000000
0.070,0.08500000
0.072,0.18000000
0.074,0.35500000
0.076,0.24500000
0.078,0.29500000
0.080,0.26000000
0.082,0.21500000
0.084,0.14500000
0.086,0.05000000
0.088,-0.01000000
0.090,0.14500000
0.092,0.07500000
0.094,0.30500000
0.096,0.29500000
0.098,0.39500000
0.100,0.32000000
0.102,0.15000000
0.104,0.13500000
0.106,0.00500000
0.108,0.00500000
0.110,0.16000000
0.112,0.23000000
0.114,0.32000000
0.116,0.32500000
0.118,0.37000000
0.120,0.27500000
0.122,0.10500000
0.124,-0.03500000
0.126,0.02500000
0.128,0.05000000
0.130,0.06500000
0.132,0.17500000
0.134,0.33500000
0.136,0.45000000
0.138,0.29500000
0.140,0.17500000
0.142,0.13000000
0.144,-0.03000000
0.146,-0.08500000
0.148,0.06000000
0.150,0.13500000
0.152,0.17500000
0.154,0.38000000
0.156,0.35000000
0.158,0.37500000
0.160,0.20000000
0.162,0.09500000
0.164,0.05500000
0.166,0.03000000
0.168,-0.03500000
0.170,0.16000000
0.172,0.21000000
0.174,0.45500000
0.176,0.31000000
0.178,0.27500000
0.180,0.20500000
0.182,0.09000000
0.184,-0.01000000
0.186,-0.09500000
0.188,-0.03500000
0.190,0.14500000
0.192,0.28500000
0.194,0.30000000
0.196,0.33000000
0.198,0.31000000
0.200,0.21500000
0.202,0.07500000
0.204,0.05500000
0.206,0.10500000
0.208,0.04500000
0.210,0.01500000
0.212,0.12500000
0.214,0.37500000
0.216,0.53500000
0.218,0.39000000
0.220,0.22500000
0.222,0.17000000
0.224,0.02500000
0.226,0.01000000
0.228,0.07000000
0.230,0.20000000
0.232,0.25500000
0.234,0.30000000
0.236,0.41000000
0.238,0.23500000
0.240,0.19500000
0.242,0.02000000
0.244,0.22000000
0.246,-0.01500000
0.248,0.00500000
0.250,0.10500000
0.252,0.34000000
0.254,0.31000000
0.256,0.30000000
0.258,0.37000000
0.260,0.21000000
0.262,0.26500000
0.264,0.15500000
0.266,-0.00500000
0.268,0.17500000
0.270,0.18500000
0.272,0.24000000
0.274,0.31000000
0.276,0.29500000
0.278,0.28500000
0.280,0.21500000
0.282,0.07000000
0.284,0.13000000
0.286,-0.00500000
0.288,-0.01500000
0.290,0.07500000
0.292,0.20500000
0.294,0.27500000
0.296,0.46000000
0.298,0.14500000
0.300,0.12000000
0.302,0.12000000
0.304,-0.07000000
0.306,-0.05000000
0.308,0.16000000
0.310,0.06000000
0.312,0.14000000
0.314,0.33500000
0.316,0.41000000
0.318,0.27500000
0.320,0.13500000
